Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
2.0;19;31;6;1;3;462;0;1;14;0;104;12;233;86;none;none;none;none;none;Shotgun Surgery
0.0;3;2;2;0;4;19;0;1;2;0;50;1;100;0;none;none;none;none;none;none
1.0;13;10;4;0;3;236;0;3;12;0;76;7;300;84;none;none;none;none;none;none
0.0;4;3;0;0;1;58;0;2;3;0;26;2;3;0;none;none;none;none;none;none
0.0;1;1;0;0;1;25;0;1;4;0;16;0;4;61;none;none;none;none;none;none
1.0;13;28;6;1;3;443;0;1;21;0;77;9;350;0;none;none;none;none;none;Shotgun Surgery
1.0;7;1;4;0;1;19;0;1;4;0;23;2;100;0;none;none;none;none;none;none
2.0;8;2;7;0;5;49;0;1;7;0;542;4;100;91;Refused Bequest;none;none;none;none;none
7.0;26;4;7;0;5;247;0;1;10;0;530;8;143;63;none;none;none;none;none;none
0.0;0;2;4;0;1;251;0;1;4;0;15;0;100;_;none;none;none;none;none;none
0.0;0;2;0;0;1;22;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;1;1;1;2;1;23;0;1;1;0;13;0;100;62;none;none;none;none;none;none
0.0;7;7;0;0;0;63;0;1;1;0;6;2;1;75;none;none;none;none;none;none
0.0;2;1;0;0;0;8;0;1;1;0;2;0;1;0;none;none;none;none;none;none
0.0;2;7;2;1;1;53;0;1;2;0;22;3;100;0;none;none;none;none;none;none
2.0;3;1;1;0;4;11;0;1;1;0;111;0;100;100;Refused Bequest;none;none;none;none;none
3.0;5;13;1;0;4;54;0;1;1;0;114;1;100;100;Refused Bequest;none;none;none;none;none
2.0;5;6;1;0;4;29;0;1;1;0;113;1;100;0;Refused Bequest;none;none;none;none;none
2.0;5;6;1;0;4;29;0;1;1;0;113;1;100;0;Refused Bequest;none;none;none;none;none
0.0;9;1;4;0;1;22;0;1;4;0;24;2;100;75;none;none;none;none;none;none
0.0;15;5;11;6;2;204;0;2;23;0;78;2;209;90;none;Feature Envy;none;none;none;none
1.0;4;4;5;4;1;45;0;1;7;0;24;2;140;61;none;none;none;none;none;none
2.0;12;4;7;3;3;286;2;1;36;0;134;4;486;84;none;none;none;none;Data Class;none
0.0;0;1;28;1;2;101;0;1;1;0;19;1;4;50;none;none;none;none;none;none
1.0;0;3;5;2;2;80;0;1;5;0;42;5;100;73;Refused Bequest;none;none;none;none;none
0.0;3;10;1;0;0;51;0;1;1;0;5;1;100;0;none;none;none;none;none;none
0.0;0;1;1;0;4;10;1;1;1;0;25;0;0;_;none;none;none;none;none;none
0.0;15;3;4;5;1;34;0;1;5;0;25;2;125;0;none;none;none;none;none;none
1.0;22;10;12;3;2;192;3;1;14;0;68;8;92;75;none;none;none;none;none;none
0.0;5;3;4;1;2;39;0;1;4;0;22;1;100;_;none;none;none;none;none;none
0.0;0;2;1;0;1;13;1;1;1;0;13;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;3;3;0;1;0;0;29;0;0;0;none;none;none;none;none;none
2.0;26;11;3;0;5;118;0;1;4;0;96;9;133;80;none;none;none;none;none;Shotgun Surgery
0.0;3;2;3;0;4;33;0;1;3;0;28;1;100;100;none;Feature Envy;none;none;none;none
0.0;10;3;2;1;0;377;1;2;4;0;13;2;150;82;none;none;none;none;none;none
0.0;0;1;4;0;1;38;4;1;4;0;15;0;0;66;none;none;none;none;none;none
0.0;0;1;0;0;3;15;0;1;0;0;24;0;0;100;none;none;none;none;none;none
